ID_Retirada;Data_Solicitacao;Item;Marca;Quantidade_Retirada;Usuario_Retirou_ID;Usuario_Retirou_Nome;Usuario_Retirou_SIAPE;Usuario_Autorizou_ID;Usuario_Autorizou_Nome;Usuario_Autorizou_SIAPE;Status
42;27/05/2025;Mouse USB;Logitech;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
39;27/05/2025;Mouse USB;Logitech;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
30;14/05/2025;Mouse USB;Logitech;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
27;14/05/2025;Caneta Azul;cis;15;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
33;15/05/2025;Caneta Vermelha;BIC;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
28;14/05/2025;Caneta Vermelha;BIC;15;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
43;27/05/2025;Mouse USB;Logitech;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
43;27/05/2025;Caneta Azul;cis;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
43;27/05/2025;Caneta Preta;BIC;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
43;27/05/2025;Caneta Vermelha;BIC;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
43;27/05/2025;Cabo VGA;;1;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
44;28/05/2025;Cabo VGA;;2;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
29;14/05/2025;Caneta Vermelha;BIC;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;NEGADA
31;14/05/2025;Mouse USB;Logitech;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;NEGADA
36;19/05/2025;Caneta Vermelha;BIC;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;AUTORIZADA
36;19/05/2025;Mouse USB;Logitech;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;AUTORIZADA
34;19/05/2025;Caneta Vermelha;BIC;10;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
34;19/05/2025;Mouse USB;Logitech;10;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
35;19/05/2025;Caneta Vermelha;BIC;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;NEGADA
35;19/05/2025;Mouse USB;Logitech;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;NEGADA
37;27/05/2025;Caneta Preta;BIC;1;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
37;27/05/2025;Caneta Azul;cis;1;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
38;27/05/2025;Teclado USB;DELL;1;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
40;27/05/2025;TESTE;;1;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
41;27/05/2025;Mouse USB;Logitech;1;33;João Victor Almoxarifado;123;;N/A;N/A;PENDENTE
32;15/05/2025;Teclado USB;DELL;10;33;João Victor Almoxarifado;123;33.0;João Victor Almoxarifado;123;CONCLUIDA
